TimeStamp,A,B,C,D,E,F
19990608,25.1706,11.6746,14.0312,32.5331,35.9468,33.5433
19990609,25.8093,11.3756,13.9038,32.124,35.6395,32.6588
19990610,25.9604,11.2148,13.6456,31.8542,34.8306,31.5338
19990611,24.8928,10.9929,13.7524,31.9064,34.5313,30.5608
19990614,23.7666,11.1537,13.6663,32.0718,34.7336,29.8072
19990615,23.9177,11.2534,13.9038,32.7508,34.3777,30.4936
19990616,26.2334,11.4334,14.162,35.0923,35.8353,30.4264
19990617,27.1792,11.173,14.6338,34.6005,35.3332,31.2684
19990618,28.1543,11.2341,14.6993,34.9008,35.1308,31.1127
19990621,28.8855,11.2534,14.5925,36.2326,36.548,30.759
19990622,26.9355,11.2148,14.6993,35.5275,36.3941,30.6245
19990623,26.8428,11.2534,14.3962,34.9269,35.7382,30.759
19990624,25.8093,11.3338,14.4617,34.792,35.1308,30.2495
19990625,26.2042,11.0733,14.7646,35.336,35.1794,30.1823
19990628,26.0531,11.3338,14.8507,36.0411,36.9529,30.1823
19990629,25.9897,11.6746,15.0643,35.9323,37.6088,30.3839
19990630,26.9988,11.3145,14.7853,37.5644,38.5726,31.134
19990701,27.7594,11.3338,15.0229,37.6077,38.5159,30.4476
19990702,28.5833,11.636,15.1503,37.2797,39.4796,29.9841
19990706,27.852,11.1923,15.4086,37.7433,39.682,30.2283
19990707,28.1543,11.3531,15.4533,37.3628,39.0746,30.4723
19990708,28.4907,11.3531,15.3672,37.1704,38.111,30.207
19990709,28.8563,11.6746,15.5153,37.1966,38.7751,30.6917
19990712,28.7052,11.4334,15.0436,36.8162,38.4187,30.8262
19990713,29.0074,11.7164,15.0643,36.134,38.5159,31.4665
19990714,31.0209,11.6553,14.8267,35.7492,38.5726,32.1529
19990715,31.7522,11.755,14.7853,35.9416,38.4187,32.305
19990716,31.1428,12.099,14.892,35.7492,38.8237,31.8416
19990719,31.4743,11.7968,14.6993,35.9941,39.0261,31.7319
19990720,29.2219,11.5556,14.441,35.3381,37.9085,32.0397
19990721,30.8649,11.5942,14.3962,35.5568,36.8963,31.9757
19990722,29.4023,11.0926,14.441,36.4882,36.6452,31.8444
19990723,30.1043,10.9511,14.3756,35.6399,36.3455,31.3117
19990726,29.6802,10.9737,14.1174,36.2433,36.8477,30.9993
19990727,29.6802,10.71,14.138,36.6806,36.8477,31.3331
19990728,30.6552,10.591,14.076,36.4051,36.4913,30.6229
19990729,29.8606,10.2888,13.8798,35.1501,35.6328,31.2442
19990730,29.5583,10.2695,13.408,33.7289,34.3209,32.1532
19990802,30.1043,10.1891,13.3013,34.0262,34.2156,32.0644
19990803,29.6461,10.1088,13.4287,34.3848,33.9161,33.3071
19990804,29.4023,9.8869,13.1309,34.3017,33.2034,32.9521
19990805,30.2555,10.128,13.2174,34.3017,33.1548,33.3532
19990806,29.2512,9.84832,12.9372,33.1516,33.3086,33.0657
19990809,27.8179,9.80652,13.1967,33.0161,32.5474,32.4657
19990810,26.1116,9.70684,13.0237,32.4957,34.823,33.332
19990811,28.671,9.70684,13.3905,33.5364,35.228,33.1083
19990812,27.6667,9.56537,13.1517,33.0992,35.8353,32.7994
19990813,28.7344,9.72614,13.8023,34.5728,36.2402,33.0869
19990816,29.7094,9.72614,13.8439,35.0932,37.204,33.3071
19990817,29.0074,9.78723,14.2973,36.2958,38.0624,33.8397
19990818,28.827,9.92783,14.3215,36.5713,37.6088,33.6409
19990819,28.9148,9.90842,14.2557,36.0247,37.3011,33.5308
19990820,29.1927,8.31039,14.6018,36.4051,37.8113,34.5284
19990823,29.4949,7.92544,14.9272,37.4984,38.5726,34.8622
19990824,30.3188,7.72488,14.9687,37.8526,38.5159,35.551
